"Registration.date","Total.usage.time","Pets","Carpet.score","Sent.for.repair","Failure.date","Battery.status","Impact.status","IR.status","Battery.censoring","Impact.censoring","IR.censoring","Survival.time","Registration.year","Registration.year.month"
2016-01-15,1257,0,2,0,2019-12-31,NA,NA,NA,0,0,0,1446,"2016","2016-01"
2019-07-14,113,0,2,0,2019-12-31,NA,NA,NA,0,0,0,170,"2019","2019-07"
2018-01-22,750,0,4,0,2019-12-31,NA,NA,NA,0,0,0,708,"2018","2018-01"
2016-11-24,1609,1,5,0,2019-12-31,NA,NA,NA,0,0,0,1132,"2016","2016-11"
2017-03-06,611,0,2,0,2019-12-31,NA,NA,NA,0,0,0,1030,"2017","2017-03"
2015-03-10,1828,1,4,1,2017-04-20,"Damage","OK","OK",1,0,0,772,"2015","2015-03"
2019-11-13,32,0,4,0,2019-12-31,NA,NA,NA,0,0,0,48,"2019","2019-11"
2017-02-27,935,0,2,0,2019-12-31,NA,NA,NA,0,0,0,1037,"2017","2017-02"
2019-10-15,117,1,2,0,2019-12-31,NA,NA,NA,0,0,0,77,"2019","2019-10"
2019-06-10,503,1,3,0,2019-12-31,NA,NA,NA,0,0,0,204,"2019","2019-06"
2018-03-14,1207,1,4,0,2019-12-31,NA,NA,NA,0,0,0,657,"2018","2018-03"
2019-11-08,54,0,7,0,2019-12-31,NA,NA,NA,0,0,0,53,"2019","2019-11"
2018-02-03,1869,1,1,0,2019-12-31,NA,NA,NA,0,0,0,696,"2018","2018-02"
2016-08-31,979,0,2,0,2019-12-31,NA,NA,NA,0,0,0,1217,"2016","2016-08"
2016-09-25,945,0,1,0,2019-12-31,NA,NA,NA,0,0,0,1192,"2016","2016-09"
2016-12-28,1288,0,2,0,2019-12-31,NA,NA,NA,0,0,0,1098,"2016","2016-12"
2018-12-03,632,0,3,0,2019-12-31,NA,NA,NA,0,0,0,393,"2018","2018-12"
2015-03-13,2108,0,2,1,2019-07-04,"OK","Damage","OK",0,1,0,1574,"2015","2015-03"
2018-09-29,602,0,2,0,2019-12-31,NA,NA,NA,0,0,0,458,"2018","2018-09"
2018-05-21,143,0,3,1,2018-11-03,"OK","OK","Damage",0,0,1,166,"2018","2018-05"
2015-11-09,2942,1,3,0,2019-12-31,NA,NA,NA,0,0,0,1513,"2015","2015-11"
2016-04-21,1372,0,4,0,2019-12-31,NA,NA,NA,0,0,0,1349,"2016","2016-04"
2017-07-28,598,0,1,0,2019-12-31,NA,NA,NA,0,0,0,886,"2017","2017-07"
2018-05-18,443,0,1,0,2019-12-31,NA,NA,NA,0,0,0,592,"2018","2018-05"
2019-11-30,38,0,5,0,2019-12-31,NA,NA,NA,0,0,0,31,"2019","2019-11"
2018-10-18,833,1,1,0,2019-12-31,NA,NA,NA,0,0,0,439,"2018","2018-10"
2017-10-31,559,0,4,0,2019-12-31,NA,NA,NA,0,0,0,791,"2017","2017-10"
2019-04-01,377,0,4,0,2019-12-31,NA,NA,NA,0,0,0,274,"2019","2019-04"
2015-12-12,2525,1,3,0,2019-12-31,NA,NA,NA,0,0,0,1480,"2015","2015-12"
2016-05-10,295,1,3,1,2016-09-25,"OK","OK","Damage",0,0,1,138,"2016","2016-05"
2019-02-21,904,1,6,0,2019-12-31,NA,NA,NA,0,0,0,313,"2019","2019-02"
2018-06-19,839,1,3,0,2019-12-31,NA,NA,NA,0,0,0,560,"2018","2018-06"
2016-03-15,841,1,4,0,2019-12-31,NA,NA,NA,0,0,0,1386,"2016","2016-03"
2015-03-20,1901,0,3,0,2019-12-31,NA,NA,NA,0,0,0,1747,"2015","2015-03"
2015-09-14,3285,1,4,0,2019-12-31,NA,NA,NA,0,0,0,1569,"2015","2015-09"
2016-01-31,2413,1,3,1,2018-09-02,"Damage","OK","OK",1,0,0,945,"2016","2016-01"
2017-05-25,874,0,2,0,2019-12-31,NA,NA,NA,0,0,0,950,"2017","2017-05"
2015-12-27,2416,1,7,0,2019-12-31,NA,NA,NA,0,0,0,1465,"2015","2015-12"
2018-08-06,520,0,4,0,2019-12-31,NA,NA,NA,0,0,0,512,"2018","2018-08"
2015-01-15,2050,0,2,0,2019-12-31,NA,NA,NA,0,0,0,1811,"2015","2015-01"
2016-11-16,1239,0,2,0,2019-12-31,NA,NA,NA,0,0,0,1140,"2016","2016-11"
2017-07-28,1253,1,3,0,2019-12-31,NA,NA,NA,0,0,0,886,"2017","2017-07"
2015-01-03,2923,1,2,1,2017-11-23,"OK","Damage","OK",0,1,0,1055,"2015","2015-01"
2017-11-28,711,0,3,0,2019-12-31,NA,NA,NA,0,0,0,763,"2017","2017-11"
2015-10-16,1282,0,6,0,2019-12-31,NA,NA,NA,0,0,0,1537,"2015","2015-10"
2016-10-17,2037,1,3,1,2019-06-07,"Damage","OK","OK",1,0,0,963,"2016","2016-10"
2018-03-24,292,0,3,0,2019-12-31,NA,NA,NA,0,0,0,647,"2018","2018-03"
2018-11-17,457,0,4,0,2019-12-31,NA,NA,NA,0,0,0,409,"2018","2018-11"
2017-10-26,2013,1,2,0,2019-12-31,NA,NA,NA,0,0,0,796,"2017","2017-10"
2016-03-02,644,0,2,0,2019-12-31,NA,NA,NA,0,0,0,1399,"2016","2016-03"
2015-06-14,2978,1,4,0,2019-12-31,NA,NA,NA,0,0,0,1661,"2015","2015-06"
2015-06-06,2727,1,3,0,2019-12-31,NA,NA,NA,0,0,0,1669,"2015","2015-06"
2016-07-11,2890,1,3,0,2019-12-31,NA,NA,NA,0,0,0,1268,"2016","2016-07"
2018-05-03,928,0,2,0,2019-12-31,NA,NA,NA,0,0,0,607,"2018","2018-05"
2015-01-01,2684,1,2,1,2019-12-11,"OK","OK","OK",0,0,0,1805,"2015","2015-01"
2016-01-16,474,0,3,1,2018-02-14,"OK","OK","Damage",0,0,1,760,"2016","2016-01"
2019-08-31,82,0,4,0,2019-12-31,NA,NA,NA,0,0,0,122,"2019","2019-08"
2019-08-18,280,1,4,0,2019-12-31,NA,NA,NA,0,0,0,135,"2019","2019-08"
2018-09-02,396,0,5,0,2019-12-31,NA,NA,NA,0,0,0,485,"2018","2018-09"
2016-08-31,916,0,3,0,2019-12-31,NA,NA,NA,0,0,0,1217,"2016","2016-08"
2017-07-29,743,0,1,0,2019-12-31,NA,NA,NA,0,0,0,885,"2017","2017-07"
2018-09-20,814,1,4,0,2019-12-31,NA,NA,NA,0,0,0,467,"2018","2018-09"
2018-02-04,1553,1,3,0,2019-12-31,NA,NA,NA,0,0,0,695,"2018","2018-02"
2018-02-17,1459,1,3,0,2019-12-31,NA,NA,NA,0,0,0,682,"2018","2018-02"
2016-02-01,1866,0,5,0,2019-12-31,NA,NA,NA,0,0,0,1429,"2016","2016-02"
2016-01-31,2756,1,4,0,2019-12-31,NA,NA,NA,0,0,0,1430,"2016","2016-01"
2016-12-11,1373,1,4,0,2019-12-31,NA,NA,NA,0,0,0,1115,"2016","2016-12"
2019-09-17,115,0,6,0,2019-12-31,NA,NA,NA,0,0,0,105,"2019","2019-09"
2019-10-24,50,0,6,0,2019-12-31,NA,NA,NA,0,0,0,68,"2019","2019-10"
2018-09-12,588,0,3,0,2019-12-31,NA,NA,NA,0,0,0,475,"2018","2018-09"
2018-08-31,548,0,4,0,2019-12-31,NA,NA,NA,0,0,0,487,"2018","2018-08"
2017-09-05,1260,0,2,0,2019-12-31,NA,NA,NA,0,0,0,847,"2017","2017-09"
2015-01-05,1591,1,3,1,2019-11-26,"OK","OK","OK",0,0,0,1786,"2015","2015-01"
2018-01-16,837,0,2,0,2019-12-31,NA,NA,NA,0,0,0,714,"2018","2018-01"
2019-03-08,235,0,2,0,2019-12-31,NA,NA,NA,0,0,0,298,"2019","2019-03"
2018-10-04,371,0,2,0,2019-12-31,NA,NA,NA,0,0,0,453,"2018","2018-10"
2017-04-06,1017,0,4,0,2019-12-31,NA,NA,NA,0,0,0,999,"2017","2017-04"
2017-09-05,1645,1,6,1,2019-06-07,"Damage","OK","OK",1,0,0,640,"2017","2017-09"
2017-09-08,528,0,2,0,2019-12-31,NA,NA,NA,0,0,0,844,"2017","2017-09"
2015-01-03,1069,0,1,0,2019-12-31,NA,NA,NA,0,0,0,1823,"2015","2015-01"
2016-10-11,854,0,4,0,2019-12-31,NA,NA,NA,0,0,0,1176,"2016","2016-10"
2018-01-22,836,0,2,0,2019-12-31,NA,NA,NA,0,0,0,708,"2018","2018-01"
2019-02-22,387,0,2,0,2019-12-31,NA,NA,NA,0,0,0,312,"2019","2019-02"
2016-10-13,1881,1,3,0,2019-12-31,NA,NA,NA,0,0,0,1174,"2016","2016-10"
2017-01-19,1592,0,5,1,2019-12-03,"Damage","OK","OK",1,0,0,1048,"2017","2017-01"
2017-11-13,558,0,2,0,2019-12-31,NA,NA,NA,0,0,0,778,"2017","2017-11"
2017-12-12,843,1,3,0,2019-12-31,NA,NA,NA,0,0,0,749,"2017","2017-12"
2018-08-07,718,0,4,0,2019-12-31,NA,NA,NA,0,0,0,511,"2018","2018-08"
2016-12-22,2459,1,4,0,2019-12-31,NA,NA,NA,0,0,0,1104,"2016","2016-12"
2019-08-06,62,0,2,0,2019-12-31,NA,NA,NA,0,0,0,147,"2019","2019-08"
2019-10-24,95,0,3,0,2019-12-31,NA,NA,NA,0,0,0,68,"2019","2019-10"
2016-03-02,1040,0,4,0,2019-12-31,NA,NA,NA,0,0,0,1399,"2016","2016-03"
2018-08-15,373,0,5,0,2019-12-31,NA,NA,NA,0,0,0,503,"2018","2018-08"
2019-07-09,336,1,2,0,2019-12-31,NA,NA,NA,0,0,0,175,"2019","2019-07"
2018-01-06,913,0,2,0,2019-12-31,NA,NA,NA,0,0,0,724,"2018","2018-01"
2018-02-27,1672,1,3,1,2019-10-29,"Damage","OK","OK",1,0,0,609,"2018","2018-02"
2019-09-08,349,1,2,0,2019-12-31,NA,NA,NA,0,0,0,114,"2019","2019-09"
2019-04-02,299,0,8,0,2019-12-31,NA,NA,NA,0,0,0,273,"2019","2019-04"
2017-11-24,1546,1,3,0,2019-12-31,NA,NA,NA,0,0,0,767,"2017","2017-11"
2019-02-08,246,0,2,0,2019-12-31,NA,NA,NA,0,0,0,326,"2019","2019-02"
2015-07-27,1416,0,5,0,2019-12-31,NA,NA,NA,0,0,0,1618,"2015","2015-07"
2018-10-27,584,0,3,0,2019-12-31,NA,NA,NA,0,0,0,430,"2018","2018-10"
2018-02-12,1179,1,2,0,2019-12-31,NA,NA,NA,0,0,0,687,"2018","2018-02"
2015-09-29,3043,1,2,0,2019-12-31,NA,NA,NA,0,0,0,1554,"2015","2015-09"
2015-05-27,1565,0,5,0,2019-12-31,NA,NA,NA,0,0,0,1679,"2015","2015-05"
2017-04-27,712,0,2,0,2019-12-31,NA,NA,NA,0,0,0,978,"2017","2017-04"
2018-11-24,986,1,1,0,2019-12-31,NA,NA,NA,0,0,0,402,"2018","2018-11"
2018-09-01,642,0,3,0,2019-12-31,NA,NA,NA,0,0,0,486,"2018","2018-09"
2019-02-01,325,0,3,0,2019-12-31,NA,NA,NA,0,0,0,333,"2019","2019-02"
2015-11-07,1312,0,5,0,2019-12-31,NA,NA,NA,0,0,0,1515,"2015","2015-11"
2019-09-22,213,1,6,0,2019-12-31,NA,NA,NA,0,0,0,100,"2019","2019-09"
2016-06-20,1424,0,3,0,2019-12-31,NA,NA,NA,0,0,0,1289,"2016","2016-06"
2015-09-30,3065,1,2,1,2019-11-23,"Damage","OK","OK",1,0,0,1515,"2015","2015-09"
2018-08-06,661,1,4,0,2019-12-31,NA,NA,NA,0,0,0,512,"2018","2018-08"
2016-08-14,2438,1,5,0,2019-12-31,NA,NA,NA,0,0,0,1234,"2016","2016-08"
2018-11-23,431,0,2,0,2019-12-31,NA,NA,NA,0,0,0,403,"2018","2018-11"
2016-12-21,116,0,2,1,2017-05-22,"OK","OK","Damage",0,0,1,152,"2016","2016-12"
2018-05-24,344,0,3,0,2019-12-31,NA,NA,NA,0,0,0,586,"2018","2018-05"
2018-11-17,488,0,4,0,2019-12-31,NA,NA,NA,0,0,0,409,"2018","2018-11"
2015-12-10,1594,0,4,1,2019-03-05,"OK","OK","Damage",0,0,1,1181,"2015","2015-12"
2015-02-23,1820,0,2,0,2019-12-31,NA,NA,NA,0,0,0,1772,"2015","2015-02"
2015-09-05,2672,1,6,1,2019-01-05,"Damage","OK","OK",1,0,0,1218,"2015","2015-09"
2018-05-26,452,0,2,0,2019-12-31,NA,NA,NA,0,0,0,584,"2018","2018-05"
2019-09-03,167,0,3,0,2019-12-31,NA,NA,NA,0,0,0,119,"2019","2019-09"
2017-10-02,737,0,2,0,2019-12-31,NA,NA,NA,0,0,0,820,"2017","2017-10"
2018-01-03,893,0,3,0,2019-12-31,NA,NA,NA,0,0,0,727,"2018","2018-01"
2015-12-26,2381,1,2,0,2019-12-31,NA,NA,NA,0,0,0,1466,"2015","2015-12"
2017-09-04,1760,1,5,0,2019-12-31,NA,NA,NA,0,0,0,848,"2017","2017-09"
2015-11-24,2540,1,3,1,2019-06-08,"OK","Damage","OK",0,1,0,1292,"2015","2015-11"
2017-04-05,898,0,4,0,2019-12-31,NA,NA,NA,0,0,0,1000,"2017","2017-04"
2016-08-01,1569,0,4,0,2019-12-31,NA,NA,NA,0,0,0,1247,"2016","2016-08"
2015-08-01,2148,1,1,0,2019-12-31,NA,NA,NA,0,0,0,1613,"2015","2015-08"
2015-12-06,2233,1,4,1,2018-09-08,"Damage","OK","OK",1,0,0,1007,"2015","2015-12"
2018-08-25,437,0,5,0,2019-12-31,NA,NA,NA,0,0,0,493,"2018","2018-08"
2017-01-22,1234,0,3,0,2019-12-31,NA,NA,NA,0,0,0,1073,"2017","2017-01"
2017-01-26,1238,0,5,0,2019-12-31,NA,NA,NA,0,0,0,1069,"2017","2017-01"
2017-05-27,1757,1,3,0,2019-12-31,NA,NA,NA,0,0,0,948,"2017","2017-05"
2017-02-19,1235,0,3,0,2019-12-31,NA,NA,NA,0,0,0,1045,"2017","2017-02"
2015-09-07,2085,1,3,1,2017-07-23,"Damage","OK","OK",1,0,0,685,"2015","2015-09"
2019-02-14,370,0,2,0,2019-12-31,NA,NA,NA,0,0,0,320,"2019","2019-02"
2017-12-17,553,1,5,0,2019-12-31,NA,NA,NA,0,0,0,744,"2017","2017-12"
2018-12-21,399,0,1,0,2019-12-31,NA,NA,NA,0,0,0,375,"2018","2018-12"
2018-11-05,599,1,2,0,2019-12-31,NA,NA,NA,0,0,0,421,"2018","2018-11"
2019-08-04,97,0,1,0,2019-12-31,NA,NA,NA,0,0,0,149,"2019","2019-08"
2019-04-25,234,0,4,0,2019-12-31,NA,NA,NA,0,0,0,250,"2019","2019-04"
2016-08-01,1325,0,2,0,2019-12-31,NA,NA,NA,0,0,0,1247,"2016","2016-08"
2016-04-18,1445,0,2,0,2019-12-31,NA,NA,NA,0,0,0,1352,"2016","2016-04"
2018-09-17,471,0,2,0,2019-12-31,NA,NA,NA,0,0,0,470,"2018","2018-09"
2018-09-26,1067,1,2,0,2019-12-31,NA,NA,NA,0,0,0,461,"2018","2018-09"
2019-08-04,355,1,3,0,2019-12-31,NA,NA,NA,0,0,0,149,"2019","2019-08"
2018-12-19,422,0,6,0,2019-12-31,NA,NA,NA,0,0,0,377,"2018","2018-12"
2015-09-01,2379,0,3,1,2019-08-26,"OK","Damage","OK",0,1,0,1455,"2015","2015-09"
2016-06-09,805,0,5,0,2019-12-31,NA,NA,NA,0,0,0,1300,"2016","2016-06"
2015-12-22,2112,1,3,1,2018-02-10,"Damage","OK","OK",1,0,0,781,"2015","2015-12"
2018-12-02,469,0,3,0,2019-12-31,NA,NA,NA,0,0,0,394,"2018","2018-12"
2015-08-24,1185,1,4,0,2019-12-31,NA,NA,NA,0,0,0,1590,"2015","2015-08"
2015-08-24,1408,1,3,1,2017-05-06,"Damage","OK","OK",1,0,0,621,"2015","2015-08"
2015-05-12,2463,0,4,0,2019-12-31,NA,NA,NA,0,0,0,1694,"2015","2015-05"
2015-04-08,2748,1,3,1,2018-11-06,"Damage","OK","OK",1,0,0,1308,"2015","2015-04"
2017-08-29,771,0,3,0,2019-12-31,NA,NA,NA,0,0,0,854,"2017","2017-08"
2015-07-25,1857,0,3,0,2019-12-31,NA,NA,NA,0,0,0,1620,"2015","2015-07"
2018-09-19,426,1,4,0,2019-12-31,NA,NA,NA,0,0,0,468,"2018","2018-09"
2018-08-28,454,0,4,0,2019-12-31,NA,NA,NA,0,0,0,490,"2018","2018-08"
2019-06-05,269,0,5,0,2019-12-31,NA,NA,NA,0,0,0,209,"2019","2019-06"
2017-08-02,641,0,2,0,2019-12-31,NA,NA,NA,0,0,0,881,"2017","2017-08"
2019-04-05,217,0,3,0,2019-12-31,NA,NA,NA,0,0,0,270,"2019","2019-04"
2017-03-19,1842,1,2,0,2019-12-31,NA,NA,NA,0,0,0,1017,"2017","2017-03"
2015-10-16,1536,0,1,0,2019-12-31,NA,NA,NA,0,0,0,1537,"2015","2015-10"
2017-03-18,1275,0,4,0,2019-12-31,NA,NA,NA,0,0,0,1018,"2017","2017-03"
2019-11-03,98,1,1,0,2019-12-31,NA,NA,NA,0,0,0,58,"2019","2019-11"
2017-06-03,1124,1,3,1,2018-04-22,"Damage","OK","OK",1,0,0,323,"2017","2017-06"
2016-04-05,1302,0,3,0,2019-12-31,NA,NA,NA,0,0,0,1365,"2016","2016-04"
2016-04-19,1712,0,3,0,2019-12-31,NA,NA,NA,0,0,0,1351,"2016","2016-04"
2017-09-16,2234,1,4,0,2019-12-31,NA,NA,NA,0,0,0,836,"2017","2017-09"
2018-04-01,793,1,4,0,2019-12-31,NA,NA,NA,0,0,0,639,"2018","2018-04"
2016-09-06,1101,0,3,0,2019-12-31,NA,NA,NA,0,0,0,1211,"2016","2016-09"
2015-04-22,2008,0,1,0,2019-12-31,NA,NA,NA,0,0,0,1714,"2015","2015-04"
2017-04-04,2162,1,4,1,2019-10-19,"Damage","OK","OK",1,0,0,928,"2017","2017-04"
2019-03-12,409,0,1,0,2019-12-31,NA,NA,NA,0,0,0,294,"2019","2019-03"
2017-11-15,774,0,4,0,2019-12-31,NA,NA,NA,0,0,0,776,"2017","2017-11"
2016-10-07,2586,1,3,1,2019-06-23,"Damage","OK","OK",1,0,0,989,"2016","2016-10"
2017-09-26,980,0,4,0,2019-12-31,NA,NA,NA,0,0,0,826,"2017","2017-09"
2019-06-19,479,1,2,0,2019-12-31,NA,NA,NA,0,0,0,195,"2019","2019-06"
2017-06-13,981,0,3,0,2019-12-31,NA,NA,NA,0,0,0,931,"2017","2017-06"
2015-11-10,566,0,3,1,2017-03-12,"OK","OK","Damage",0,0,1,488,"2015","2015-11"
2017-09-18,798,0,4,0,2019-12-31,NA,NA,NA,0,0,0,834,"2017","2017-09"
2019-10-22,67,0,3,0,2019-12-31,NA,NA,NA,0,0,0,70,"2019","2019-10"
2016-07-26,1481,0,3,0,2019-12-31,NA,NA,NA,0,0,0,1253,"2016","2016-07"
2019-02-07,322,0,3,0,2019-12-31,NA,NA,NA,0,0,0,327,"2019","2019-02"
2016-07-14,2350,1,2,1,2019-04-14,"Damage","OK","OK",1,0,0,1004,"2016","2016-07"
2015-12-05,2124,0,3,0,2019-12-31,NA,NA,NA,0,0,0,1487,"2015","2015-12"
2015-03-30,2321,0,3,1,2019-12-27,"OK","OK","OK",0,0,0,1733,"2015","2015-03"
2016-03-24,1686,1,3,0,2019-12-31,NA,NA,NA,0,0,0,1377,"2016","2016-03"
2016-10-03,1574,1,2,1,2019-01-10,"OK","OK","Damage",0,0,1,829,"2016","2016-10"
2015-10-18,1441,0,4,0,2019-12-31,NA,NA,NA,0,0,0,1535,"2015","2015-10"
2016-07-09,1412,0,3,0,2019-12-31,NA,NA,NA,0,0,0,1270,"2016","2016-07"
2015-02-02,1013,0,4,0,2019-12-31,NA,NA,NA,0,0,0,1793,"2015","2015-02"
2019-12-25,7,0,1,0,2019-12-31,NA,NA,NA,0,0,0,6,"2019","2019-12"
2019-01-08,228,0,4,0,2019-12-31,NA,NA,NA,0,0,0,357,"2019","2019-01"
2015-06-08,1940,0,2,0,2019-12-31,NA,NA,NA,0,0,0,1667,"2015","2015-06"
2019-05-08,144,0,3,0,2019-12-31,NA,NA,NA,0,0,0,237,"2019","2019-05"
2017-10-09,279,0,4,0,2019-12-31,NA,NA,NA,0,0,0,813,"2017","2017-10"
2017-02-08,2354,1,5,1,2019-08-08,"Damage","OK","OK",1,0,0,911,"2017","2017-02"
2015-05-04,2147,0,1,1,2019-07-13,"OK","Damage","OK",0,1,0,1531,"2015","2015-05"
2017-10-22,738,0,3,0,2019-12-31,NA,NA,NA,0,0,0,800,"2017","2017-10"
2015-05-10,813,0,2,1,2017-11-27,"Damage","OK","OK",1,0,0,932,"2015","2015-05"
2016-01-22,1338,1,3,0,2019-12-31,NA,NA,NA,0,0,0,1439,"2016","2016-01"
2017-09-30,1694,1,2,0,2019-12-31,NA,NA,NA,0,0,0,822,"2017","2017-09"
2017-05-30,1898,1,3,0,2019-12-31,NA,NA,NA,0,0,0,945,"2017","2017-05"
2015-10-19,816,0,3,1,2019-08-03,"OK","OK","OK",0,0,0,1384,"2015","2015-10"
2015-10-01,1044,0,2,0,2019-12-31,NA,NA,NA,0,0,0,1552,"2015","2015-10"
2017-06-30,1313,1,3,0,2019-12-31,NA,NA,NA,0,0,0,914,"2017","2017-06"
2019-09-14,95,0,5,0,2019-12-31,NA,NA,NA,0,0,0,108,"2019","2019-09"
2016-09-02,1791,1,3,1,2018-12-01,"Damage","OK","OK",1,0,0,820,"2016","2016-09"
2015-12-11,2461,0,2,0,2019-12-31,NA,NA,NA,0,0,0,1481,"2015","2015-12"
2016-05-07,1731,0,3,0,2019-12-31,NA,NA,NA,0,0,0,1333,"2016","2016-05"
2017-08-27,1919,1,1,0,2019-12-31,NA,NA,NA,0,0,0,856,"2017","2017-08"
2015-02-09,2172,1,2,1,2018-04-28,"OK","Damage","OK",0,1,0,1174,"2015","2015-02"
2018-12-29,115,0,3,0,2019-12-31,NA,NA,NA,0,0,0,367,"2018","2018-12"
2015-07-21,3243,1,2,1,2019-12-26,"Damage","OK","OK",1,0,0,1619,"2015","2015-07"
2017-09-12,866,1,3,0,2019-12-31,NA,NA,NA,0,0,0,840,"2017","2017-09"
2017-11-09,1256,1,5,1,2018-12-27,"Damage","OK","OK",1,0,0,413,"2017","2017-11"
2018-02-04,555,0,1,0,2019-12-31,NA,NA,NA,0,0,0,695,"2018","2018-02"
2018-07-29,506,0,1,0,2019-12-31,NA,NA,NA,0,0,0,520,"2018","2018-07"
2015-08-14,2395,1,3,0,2019-12-31,NA,NA,NA,0,0,0,1600,"2015","2015-08"
2016-07-21,2336,1,3,0,2019-12-31,NA,NA,NA,0,0,0,1258,"2016","2016-07"
2019-09-23,100,0,3,0,2019-12-31,NA,NA,NA,0,0,0,99,"2019","2019-09"
2017-07-02,1783,1,4,0,2019-12-31,NA,NA,NA,0,0,0,912,"2017","2017-07"
2015-09-04,2099,1,5,0,2019-12-31,NA,NA,NA,0,0,0,1579,"2015","2015-09"
2019-05-07,255,0,3,0,2019-12-31,NA,NA,NA,0,0,0,238,"2019","2019-05"
2016-01-10,1738,0,5,0,2019-12-31,NA,NA,NA,0,0,0,1451,"2016","2016-01"
2019-08-17,254,1,7,0,2019-12-31,NA,NA,NA,0,0,0,136,"2019","2019-08"
2019-06-08,273,0,2,0,2019-12-31,NA,NA,NA,0,0,0,206,"2019","2019-06"
2015-09-06,2596,1,5,1,2019-02-06,"Damage","OK","OK",1,0,0,1249,"2015","2015-09"
2018-12-05,860,1,5,0,2019-12-31,NA,NA,NA,0,0,0,391,"2018","2018-12"
2017-04-07,1822,1,5,0,2019-12-31,NA,NA,NA,0,0,0,998,"2017","2017-04"
2015-09-05,2833,1,2,1,2019-04-19,"OK","Damage","OK",0,1,0,1322,"2015","2015-09"
2019-06-05,289,0,4,0,2019-12-31,NA,NA,NA,0,0,0,209,"2019","2019-06"
